clientes,cliente_id,repeticao,operacao,metodo,rota,codigo_status,sucesso,latencia_ms
10,9,1,CONSULTAR,GET,/produtos/{id},200,True,7.69
10,9,1,ATUALIZAR,PUT,/produtos/{id},200,True,13.38
10,9,1,EXCLUIR,DELETE,/produtos/{id},204,True,6.03
10,8,1,CRIAR,POST,/produtos,201,True,14.85
10,8,1,LISTAR,GET,/produtos,200,True,10.33
10,8,1,CONSULTAR,GET,/produtos/{id},200,True,8.86
10,8,1,ATUALIZAR,PUT,/produtos/{id},200,True,8.81
10,8,1,EXCLUIR,DELETE,/produtos/{id},204,True,6.37
10,1,1,CRIAR,POST,/produtos,201,True,9.99
10,1,1,LISTAR,GET,/produtos,200,True,13.91
10,1,1,CONSULTAR,GET,/produtos/{id},200,True,9.7
10,1,1,ATUALIZAR,PUT,/produtos/{id},200,True,14.04
10,1,1,EXCLUIR,DELETE,/produtos/{id},204,True,4.74
10,6,1,CRIAR,POST,/produtos,201,True,18.3
10,6,1,LISTAR,GET,/produtos,200,True,10.36
10,6,1,CONSULTAR,GET,/produtos/{id},200,True,6.59
10,6,1,ATUALIZAR,PUT,/produtos/{id},200,True,9.97
10,6,1,EXCLUIR,DELETE,/produtos/{id},204,True,4.89
10,5,1,CRIAR,POST,/produtos,201,True,11.89
10,5,1,LISTAR,GET,/produtos,200,True,4.97
10,5,1,CONSULTAR,GET,/produtos/{id},200,True,9.47
10,5,1,ATUALIZAR,PUT,/produtos/{id},200,True,15.48
10,5,1,EXCLUIR,DELETE,/produtos/{id},204,True,3.18
10,1,2,CRIAR,POST,/produtos,201,True,85.69
10,1,2,LISTAR,GET,/produtos,200,True,40.66
10,1,2,CONSULTAR,GET,/produtos/{id},200,True,74.12
10,1,2,ATUALIZAR,PUT,/produtos/{id},200,True,72.48
10,1,2,EXCLUIR,DELETE,/produtos/{id},204,True,7.56
10,3,2,CRIAR,POST,/produtos,201,True,57.61
10,3,2,LISTAR,GET,/produtos,200,True,114.76
10,3,2,CONSULTAR,GET,/produtos/{id},200,True,106.5
10,3,2,ATUALIZAR,PUT,/produtos/{id},200,True,5.75
10,3,2,EXCLUIR,DELETE,/produtos/{id},204,True,8.58
10,2,2,CRIAR,POST,/produtos,201,True,105.41
10,2,2,LISTAR,GET,/produtos,200,True,101.24
10,2,2,CONSULTAR,GET,/produtos/{id},200,True,60.75
10,2,2,ATUALIZAR,PUT,/produtos/{id},200,True,7.88
10,2,2,EXCLUIR,DELETE,/produtos/{id},204,True,4.89
10,7,2,CRIAR,POST,/produtos,201,True,87.1
10,7,2,LISTAR,GET,/produtos,200,True,104.54
10,7,2,CONSULTAR,GET,/produtos/{id},200,True,47.51
10,7,2,ATUALIZAR,PUT,/produtos/{id},200,True,9.71
10,7,2,EXCLUIR,DELETE,/produtos/{id},204,True,17.73
10,5,2,CRIAR,POST,/produtos,201,True,75.43
10,5,2,LISTAR,GET,/produtos,200,True,130.92
10,5,2,CONSULTAR,GET,/produtos/{id},200,True,50.26
10,5,2,ATUALIZAR,PUT,/produtos/{id},200,True,23.47
10,5,2,EXCLUIR,DELETE,/produtos/{id},204,True,82.31
10,9,2,CRIAR,POST,/produtos,201,True,108.32
10,9,2,LISTAR,GET,/produtos,200,True,34.92
10,9,2,CONSULTAR,GET,/produtos/{id},200,True,7.14
10,9,2,ATUALIZAR,PUT,/produtos/{id},200,True,19.82
10,9,2,EXCLUIR,DELETE,/produtos/{id},204,True,84.18
10,4,2,CRIAR,POST,/produtos,201,True,102.09
10,4,2,LISTAR,GET,/produtos,200,True,103.27
10,4,2,CONSULTAR,GET,/produtos/{id},200,True,35.48
10,4,2,ATUALIZAR,PUT,/produtos/{id},200,True,15.17
10,4,2,EXCLUIR,DELETE,/produtos/{id},204,True,92.17
10,8,2,CRIAR,POST,/produtos,201,True,143.38
10,8,2,LISTAR,GET,/produtos,200,True,85.52
10,8,2,CONSULTAR,GET,/produtos/{id},200,True,10.53
10,8,2,ATUALIZAR,PUT,/produtos/{id},200,True,21.29
10,8,2,EXCLUIR,DELETE,/produtos/{id},204,True,106.85
10,6,2,CRIAR,POST,/produtos,201,True,199.72
10,6,2,LISTAR,GET,/produtos,200,True,55.51
10,6,2,CONSULTAR,GET,/produtos/{id},200,True,9.18
10,6,2,ATUALIZAR,PUT,/produtos/{id},200,True,124.73
10,6,2,EXCLUIR,DELETE,/produtos/{id},204,True,4.56
10,10,2,CRIAR,POST,/produtos,201,True,89.88
10,10,2,LISTAR,GET,/produtos,200,True,52.37
10,10,2,CONSULTAR,GET,/produtos/{id},200,True,10.11
10,10,2,ATUALIZAR,PUT,/produtos/{id},200,True,127.6
10,10,2,EXCLUIR,DELETE,/produtos/{id},204,True,3.22
10,3,3,CRIAR,POST,/produtos,201,True,5.61
10,3,3,LISTAR,GET,/produtos,200,True,5.98
10,3,3,CONSULTAR,GET,/produtos/{id},200,True,5.83
10,3,3,ATUALIZAR,PUT,/produtos/{id},200,True,15.38
10,3,3,EXCLUIR,DELETE,/produtos/{id},204,True,5.53
10,2,3,CRIAR,POST,/produtos,201,True,4.21
10,2,3,LISTAR,GET,/produtos,200,True,6.66
10,2,3,CONSULTAR,GET,/produtos/{id},200,True,6.9
10,2,3,ATUALIZAR,PUT,/produtos/{id},200,True,11.5
10,2,3,EXCLUIR,DELETE,/produtos/{id},204,True,6.21
10,9,3,CRIAR,POST,/produtos,201,True,11.28
10,9,3,LISTAR,GET,/produtos,200,True,7.09
10,9,3,CONSULTAR,GET,/produtos/{id},200,True,5.64
10,9,3,ATUALIZAR,PUT,/produtos/{id},200,True,8.7
10,9,3,EXCLUIR,DELETE,/produtos/{id},204,True,4.93
10,7,3,CRIAR,POST,/produtos,201,True,8.78
10,7,3,LISTAR,GET,/produtos,200,True,7.34
10,7,3,CONSULTAR,GET,/produtos/{id},200,True,8.42
10,7,3,ATUALIZAR,PUT,/produtos/{id},200,True,13.41
